Block,Treatment,Depth,pH,moisture,C,N,Cnratio,Fe2,Fe2and3,Feratio,Fe,Al,Si,Bpi,Bpo,Bt,Npi,Npo,Nt,TP
B,Control,10,5.03,38.3,6.13,0.43,14.2,0.614,3.298,18.6,1.21,0.64,0.05,1.7,4.7,6.4,15.1,49.5,64.5,70.9
B,Control,20,5.14,35.4,3.18,0.24,13.4,0.286,2.329,12.3,1.15,0.57,0.04,1.5,2.8,4.2,11.8,42.0,53.8,58.0
B,Control,30,4.98,33.7,2.48,0.18,13.5,0.195,1.733,11.2,0.98,0.52,0.04,1.7,2.5,4.2,10.8,32.1,43.0,47.2
B,Control,40,5.01,32.7,1.88,0.13,13.7,0.082,0.871,9.4,0.87,0.50,0.04,1.5,0.0,1.5,9.2,23.0,32.2,33.7
B,Control,50,5.05,31.8,1.40,0.09,15.0,0.059,0.502,11.7,0.39,0.48,0.04,1.2,0.9,2.1,11.8,24.7,36.5,38.6
B,Control,60,5.13,31.4,0.95,0.06,14.8,0.041,0.389,10.6,0.25,0.46,0.03,1.5,0.0,1.5,16.2,18.1,34.4,35.9
B,Control,70,5.18,32.5,0.58,0.04,13.4,0.033,0.350,9.5,0.06,0.43,0.04,1.2,0.0,1.2,14.6,6.9,21.5,22.7
B,Control,80,5.06,31.1,0.54,0.04,12.3,0.024,0.283,8.3,0.07,0.43,0.04,1.2,0.0,1.2,16.2,7.4,23.6,24.8
B,Control,90,5.42,32.2,0.38,0.04,10.0,0.012,0.243,4.9,0.03,0.42,0.04,1.2,0.0,1.2,16.7,6.9,23.6,24.8
B,Control,100,5.32,32.8,0.54,0.05,11.3,0.012,0.204,5.8,0.06,0.43,0.03,1.2,0.9,2.1,13.4,8.0,21.5,23.5
B,Debris,10,4.98,42.1,7.16,0.41,17.3,0.501,3.559,14.1,1.40,,,1.7,6.8,8.5,20.7,76.1,96.8,105.4
B,Debris,20,5.04,35.8,4.29,0.26,16.3,0.360,3.649,9.9,1.53,,,1.7,4.7,6.4,17.2,56.0,73.1,79.5
B,Debris,30,4.99,40.2,4.18,0.27,15.3,0.335,3.341,10.0,1.51,,,1.5,4.9,6.4,18.6,63.2,81.7,88.1
B,Debris,40,4.94,38.2,3.96,0.25,15.6,0.254,2.474,10.3,1.51,,,1.5,2.8,4.2,16.7,54.3,71.0,75.2
B,Debris,50,4.87,37.0,3.65,0.23,15.8,0.211,2.185,9.7,1.73,,,1.5,4.9,6.4,14.8,47.5,62.4,68.7
B,Debris,60,4.79,36.5,2.91,0.19,15.1,0.194,2.285,8.5,1.98,,,1.2,3.0,4.2,14.1,37.5,51.6,55.8
B,Debris,70,4.82,34.9,1.96,0.13,15.0,0.082,0.817,10.0,1.31,,,1.2,0.9,2.1,14.4,28.6,43.0,45.1
B,Debris,80,4.84,31.5,1.38,0.08,16.4,0.095,1.133,8.4,0.80,,,1.5,0.0,1.5,16.5,15.7,32.2,33.7
B,Debris,90,4.76,29.5,0.70,0.05,14.0,0.029,0.350,8.4,0.16,,,1.7,0.0,1.7,20.0,10.1,30.1,31.8
B,Debris,100,4.76,30.7,0.96,0.07,14.2,0.053,0.494,10.6,0.29,,,1.5,0.0,1.5,17.9,16.5,34.4,35.9
B,Trim,10,4.58,43.8,5.95,0.41,14.4,0.349,3.177,11.0,1.43,,,1.2,5.2,6.4,15.3,47.1,62.4,68.7
B,Trim,20,4.76,42.4,3.72,0.26,14.2,0.165,2.316,7.1,1.77,,,1.2,0.9,2.1,11.3,27.4,38.7,40.8
B,Trim,30,4.64,41.5,3.08,0.21,14.8,0.157,2.507,6.3,1.59,,,1.2,7.3,8.5,9.7,22.6,32.2,40.8
B,Trim,40,4.80,42.0,2.96,0.18,16.4,0.111,1.238,8.9,0.99,,,1.2,7.3,8.5,10.4,30.5,40.8,49.4
B,Trim,50,4.90,41.2,2.71,0.15,18.2,0.076,0.687,11.0,0.97,,,1.5,7.1,8.5,14.1,28.9,43.0,51.5
B,Trim,60,4.99,36.1,1.56,0.09,18.1,0.043,0.395,10.9,0.39,,,1.5,4.9,6.4,17.6,16.7,34.4,40.8
B,Trim,70,5.09,32.9,0.63,0.04,14.7,0.022,0.239,9.1,0.07,,,1.5,4.9,6.4,25.2,11.4,36.5,42.9
B,Trim,80,4.98,35.5,0.44,0.04,12.1,0.055,0.330,16.5,0.07,,,1.7,4.7,6.4,24.5,16.4,40.8,47.2
B,Trim,90,5.06,32.1,0.41,0.04,11.6,0.354,1.423,24.9,0.22,,,1.9,4.5,6.4,30.3,10.5,40.8,47.2
B,Trim,100,5.39,33.1,0.31,0.03,9.0,0.602,2.012,29.9,0.26,,,1.7,4.7,6.4,28.4,8.1,36.5,42.9
B,Trim+Debris,10,4.97,50.4,5.89,0.42,14.0,0.621,8.461,7.3,1.34,0.54,0.04,1.2,3.0,4.2,13.4,53.2,66.7,70.9
B,Trim+Debris,20,4.94,45.9,3.39,0.26,13.2,0.499,9.046,5.5,1.15,0.50,0.03,1.2,3.0,4.2,10.4,36.9,47.3,51.5
B,Trim+Debris,30,4.81,42.3,2.67,0.21,12.8,0.196,3.680,5.3,1.03,0.49,0.02,1.2,0.9,2.1,10.8,30.0,40.8,42.9
B,Trim+Debris,40,4.95,39.8,2.17,0.16,13.5,0.099,1.548,6.4,0.70,0.48,0.02,1.2,0.0,1.2,9.7,24.7,34.4,35.6
B,Trim+Debris,50,4.92,38.0,1.79,0.12,14.7,0.051,0.605,8.4,0.33,0.45,0.02,1.2,0.0,1.2,8.0,19.9,27.9,29.1
B,Trim+Debris,60,5.05,35.9,1.36,0.09,14.3,0.029,0.336,8.7,0.16,0.44,0.02,1.0,0.0,1.0,8.7,12.7,21.5,22.5
B,Trim+Debris,70,4.88,35.5,0.97,0.07,14.5,0.026,0.286,8.9,0.09,0.44,0.02,1.2,0.0,1.2,12.0,11.6,23.6,24.8
B,Trim+Debris,80,5.00,33.6,0.59,0.04,13.3,0.014,0.184,7.6,0.06,0.44,0.02,1.2,0.0,1.2,17.4,8.3,25.8,27.0
B,Trim+Debris,90,5.13,32.7,0.38,0.04,10.9,0.008,0.190,4.3,0.02,0.43,0.02,1.2,0.0,1.2,22.6,7.5,30.1,31.3
B,Trim+Debris,100,5.12,31.3,0.41,0.04,11.5,0.006,0.151,4.1,0.04,0.43,0.02,1.2,0.0,1.2,20.0,10.1,30.1,31.3
C,Control,10,4.79,48.6,5.68,0.47,12.0,0.296,4.823,6.1,1.05,0.49,0.02,1.5,9.2,10.7,21.9,83.6,105.4,116.1
C,Control,20,4.99,42.2,2.99,0.28,10.7,0.094,2.799,3.3,0.91,0.47,0.01,1.5,7.1,8.5,13.4,46.8,60.2,68.7
C,Control,30,5.01,40.0,2.64,0.23,11.5,0.086,1.694,5.1,0.70,0.47,0.01,1.2,7.3,8.5,11.3,42.4,53.8,62.3
C,Control,40,5.05,38.3,1.98,0.16,12.2,0.067,1.351,4.9,0.58,0.48,0.01,1.2,5.2,6.4,9.2,31.6,40.8,47.2
C,Control,50,5.09,35.4,1.12,0.09,12.3,0.038,0.772,4.9,0.32,0.49,0.00,1.2,7.3,8.5,7.3,35.7,43.0,51.5
C,Control,60,5.10,34.2,0.73,0.06,11.9,0.022,0.393,5.7,0.22,0.50,0.01,1.2,9.5,10.7,6.9,21.1,27.9,38.6
C,Control,70,5.17,35.3,0.67,0.06,11.4,0.024,0.293,8.3,0.14,0.49,0.01,1.2,5.2,6.4,7.6,20.4,27.9,34.3
C,Control,80,5.13,36.0,0.73,0.06,11.6,0.026,0.241,10.8,0.12,0.48,0.01,1.2,3.0,4.2,8.5,17.3,25.8,30.0
C,Control,90,5.09,34.5,0.58,0.05,11.6,0.016,0.178,9.3,0.06,0.47,0.01,1.2,3.0,4.2,10.6,19.5,30.1,34.3
C,Control,100,5.06,35.5,0.47,0.05,10.3,0.015,0.184,7.9,0.04,0.47,0.01,1.2,3.0,4.2,11.5,14.2,25.8,30.0
C,Debris,10,4.74,48.5,7.08,0.56,12.6,0.215,1.836,11.7,1.26,,,1.7,15.5,17.1,25.4,103.7,129.1,146.3
C,Debris,20,4.91,44.1,4.27,0.34,12.5,0.151,1.560,9.7,1.34,,,1.5,11.4,12.8,16.5,67.4,83.9,96.7
C,Debris,30,5.04,37.3,2.94,0.24,12.2,0.115,1.280,9.0,1.12,,,1.5,9.2,10.7,16.0,70.0,86.0,96.7
C,Debris,40,4.97,41.8,2.88,0.23,12.4,0.136,1.039,13.1,1.32,,,1.2,11.6,12.8,14.1,41.8,55.9,68.7
C,Debris,50,4.91,41.1,2.40,0.18,13.0,0.103,1.127,9.2,1.34,,,1.2,9.5,10.7,10.1,37.2,47.3,58.0
C,Debris,60,4.89,41.7,2.02,0.16,12.3,0.070,0.573,12.3,0.87,,,1.2,11.6,12.8,10.4,28.3,38.7,51.5
C,Debris,70,4.90,41.4,2.03,0.15,13.4,0.088,0.408,21.5,0.78,,,1.2,9.5,10.7,9.4,35.7,45.1,55.8
C,Debris,80,4.96,41.1,1.85,0.14,13.1,0.069,0.416,16.5,0.68,,,1.2,7.3,8.5,10.1,26.4,36.5,45.1
C,Debris,90,5.06,41.0,1.36,0.11,12.5,0.026,0.310,8.4,0.58,,,1.2,9.5,10.7,8.7,23.5,32.2,42.9
C,Debris,100,5.10,39.7,1.20,0.09,12.8,0.026,0.297,8.8,0.40,,,1.0,7.5,8.5,8.7,23.5,32.2,40.8
C,Trim,10,4.35,40.4,6.85,0.47,14.5,0.427,3.178,13.4,1.95,,,1.2,9.5,10.7,18.6,71.8,90.4,101.0
C,Trim,20,4.48,37.4,4.27,0.31,13.7,0.242,2.557,9.5,1.59,,,1.2,7.3,8.5,12.3,56.6,68.8,77.4
C,Trim,30,4.46,36.3,3.00,0.22,13.4,0.115,1.483,7.7,1.19,,,1.2,5.2,6.4,8.7,40.7,49.4,55.8
C,Trim,40,4.67,34.5,2.26,0.17,13.6,0.070,0.642,11.0,0.86,,,1.2,7.3,8.5,7.3,27.1,34.4,42.9
C,Trim,50,4.66,33.2,1.72,0.12,14.1,0.061,0.448,13.6,0.52,,,1.5,4.9,6.4,7.1,27.3,34.4,40.8
C,Trim,60,4.71,31.9,1.23,0.09,14.4,0.047,0.282,16.8,0.31,,,1.2,3.0,4.2,9.2,25.2,34.4,38.6
